year;winner;gender;country;time;marathon;;
1982;Charlotte Teske;Female;Germany;04/05/2018 02:29;Boston;;
1981;Toshihiko Seko;Male;Japan;04/05/2018 02:09;Boston;;
1981;Allison Roe;Female;New Zealand;04/05/2018 02:26;Boston;;
1980;Bill Rodgers;Male;United States;04/05/2018 02:12;Boston;;
1980;Jacqueline Gareau;Female;Canada;04/05/2018 02:34;Boston;;
1979;Bill Rodgers;Male;United States;04/05/2018 02:09;Boston;;
1979;Joan Benoit;Female;United States;04/05/2018 02:35;Boston;;
1978;Bill Rodgers;Male;United States;04/05/2018 02:10;Boston;;
1978;Gayle Barron;Female;United States;04/05/2018 02:44;Boston;;
1977;Jerome Drayton;Male;Canada;04/05/2018 02:14;Boston;;
1977;Miki Gorman;Female;United States;04/05/2018 02:48;Boston;;
1976;Jack Fultz;Male;United States;04/05/2018 02:20;Boston;;
1976;Kim Merritt;Female;United States;04/05/2018 02:47;Boston;;
1975;Bill Rodgers;Male;United States;04/05/2018 02:09;Boston;;
1975;Liane Winter;Female;Germany;04/05/2018 02:42;Boston;;
1974;Neil Cusack;Male;Ireland;04/05/2018 02:13;Boston;;
1974;Miki Gorman;Female;United States;04/05/2018 02:47;Boston;;
1973;Jon Anderson;Male;United States;04/05/2018 02:16;Boston;;
1973;Jacqueline Hansen;Female;United States;04/05/2018 03:05;Boston;;
1972;Olavi Suomalainen;Male;Finland;04/05/2018 02:15;Boston;;
1972;Nina Kuscsik;Female;United States;04/05/2018 03:10;Boston;;
1971;Álvaro Mejía;Male;Colombia;04/05/2018 02:18;Boston;;
1971;Sara Mae Berman;Female;United States;04/05/2018 03:08;Boston;;
1970;Ron Hill;Male;United Kingdom;04/05/2018 02:10;Boston;;
1970;Sara Mae Berman;Female;United States;04/05/2018 03:05;Boston;;
1969;Yoshiaki Unetani;Male;Japan;04/05/2018 02:13;Boston;;
1969;Sara Mae Berman;Female;United States;04/05/2018 03:22;Boston;;
1968;Amby Burfoot;Male;United States;04/05/2018 02:22;Boston;;
1968;Bobbi Gibb;Female;United States;04/05/2018 03:30;Boston;;
1967;Dave McKenzie;Male;New Zealand;04/05/2018 02:15;Boston;;
1967;Bobbi Gibb;Female;United States;04/05/2018 03:27;Boston;;
1966;Kenji Kimihara;Male;Japan;04/05/2018 02:17;Boston;;
1966;Bobbi Gibb;Female;United States;04/05/2018 03:21;Boston;;
1965;Morio Shigematsu;Male;Japan;04/05/2018 02:16;Boston;;
1964;Aurèle Vandendriessche;Male;Belgium;04/05/2018 02:19;Boston;;
1963;Aurèle Vandendriessche;Male;Belgium;04/05/2018 02:18;Boston;;
1962;Eino Oksanen;Male;Finland;04/05/2018 02:23;Boston;;
1961;Eino Oksanen;Male;Finland;04/05/2018 02:23;Boston;;
1960;Paavo Kotila;Male;Finland;04/05/2018 02:20;Boston;;
1959;Eino Oksanen;Male;Finland;04/05/2018 02:22;Boston;;
1958;Franjo Mihalic;Male;Yugoslavia;04/05/2018 02:25;Boston;;
1957;John J. Kelley;Male;United States;04/05/2018 02:20;Boston;;
1956;Antti Viskari;Male;Finland;04/05/2018 02:14;Boston;;
1955;Hideo Hamamura;Male;Japan;04/05/2018 02:18;Boston;;
1954;Veikko Karvonen;Male;Finland;04/05/2018 02:20;Boston;;
1953;Keizo Yamada;Male;Japan;04/05/2018 02:18;Boston;;
1952;Doroteo Flores;Male;Guatemala;04/05/2018 02:31;Boston;;
1951;Shigeki Tanaka;Male;Japan;04/05/2018 02:27;Boston;;
1950;Ham Kee-Yong;Male;South Korea;04/05/2018 02:32;Boston;;
1949;Gösta Leandersson;Male;Sweden;04/05/2018 02:31;Boston;;
1948;Gérard Côté;Male;Canada;04/05/2018 02:31;Boston;;
1947;Suh Yun-bok;Male;South Korea;04/05/2018 02:25;Boston;;
1946;Stylianos Kyriakides;Male;Greece;04/05/2018 02:29;Boston;;
1945;John A. Kelley;Male;United States;04/05/2018 02:30;Boston;;
1944;Gérard Côté;Male;Canada;04/05/2018 02:31;Boston;;
1943;Gérard Côté;Male;Canada;04/05/2018 02:28;Boston;;
1942;Joe Smith;Male;United States;04/05/2018 02:26;Boston;;
